Date,Nagoya,Shanghai,Busan
2011-01,195224,2708000,1236228
2011-02,201715,1933000,1092042
2011-03,237158,2640000,1401582
2011-04,234539,2652000,1369245
2011-05,190082,2762000,1414857
2011-06,211530,2621000,1357472
2011-07,219315,2896000,1441000
2011-08,220906,2806000,1368120
2011-09,222527,2755000,1320361
2011-10,228829,2684000,1414283
2011-11,225984,2625000,1370723
2011-12,235329,2658000,1398793
2012-01,190586,2619000,1368443.25
2012-02,200676,2187000,1244903.75
2012-03,235443,2729000,1492298
2012-04,223219,2719000,1486052
2012-05,228081,2839000,1542745.25
2012-06,218596,2771000,1424939.5
2012-07,228244,2843000,1454989.25
2012-08,218433,2606000,1335398
2012-09,224294,2909000,1440913.75
2012-10,241133,2721000,1441592.25
2012-11,225868,2824000,1390296.25
2012-12,220657,2761000,1423606
2013-01,207130,2917000,1391523.25
2013-02,196026,2010000,1297834.25
2013-03,226606,2875000,1561235.25
2013-04,238091,2827000,1554039.25
2013-05,224819,2936000,1510840.5
2013-06,223025,2761000,1493535.5
2013-07,237170,2979000,1517513
2013-08,221937,2953000,1451426.75
2013-09,223943,2904000,1414178.5
2013-10,243260,2809000,1462028.25
2013-11,231671,2944000,1488260.25
2013-12,234977,2857000,1543683.75
2014-01,217741,2997000,1517649.5
2014-02,205855,2206000,1332821.5
2014-03,232571,2963000,1602756
2014-04,245976,3022000,1585976.5
2014-05,224221,3017000,1583239.5
2014-06,227777,3059000,1597909.25
2014-07,237422,3062000,1592725.25
2014-08,210859,3111000,1565860.5
2014-09,232774,3011000,1522375.5
2014-10,244459,3020000,1609729.25
2014-11,224372,2923000,1585550.75
2014-12,234215,2895000,1586689.75
2015-01,202856,3163000,1620144.75
2015-02,210548,2574000,1535283.5
2015-03,226555,2943000,1694094.25
2015-04,238265,3113000,1669119.75
2015-05,208541,3160000,1647131
2015-06,216717,3076000,1602057.25
2015-07,221262,3115000,1609097.5
2015-08,199984,3157000,1642964.25
2015-09,225503,3094000,1611212
2015-10,234059,3038000,1642931
2015-11,215603,3037000,1539902
2015-12,230911,3069000,1654787.25
2016-01,198904,2943000,1595908.75
2016-02,196574,2590000,1566834.75
2016-03,238632,3005000,1645605
2016-04,223072,3122000,1584746.25
2016-05,208741,3087000,1632544
2016-06,219757,3144000,1602779.5
2016-07,222172,3273000,1701425.25
2016-08,209555,3314000,1631243.75
2016-09,235309,3133000,1583312.75
2016-10,225854,3215000,1650196.25
2016-11,234356,3220000,1635373.25
2016-12,245555,3086000,1626321.75
2017-01,208206,3304000,1647364.25
2017-02,207309,2649000,1505061
2017-03,258921,3434000,1742829.25
2017-04,229572,3276000,1778257
2017-05,224317,3541000,1787773.5
2017-06,241888,3398000,1734953.5
2017-07,224328,3444000,1769722
2017-08,225718,3464000,1708444.25
2017-09,239592,3373000,1677026.5
2017-10,231621,3392000,1674569.75
2017-11,248121,3601000,1720475.75
2017-12,244517,3357000,1746998.5
2018-01,208276,3397000,1697039.5
2018-02,221468,2948000,1667339.5
2018-03,250256,3395000,1756836
2018-04,240927,3531000,1792577.5
2018-05,242191,3633000,1894985
2018-06,245772,3603000,1828096.75
2018-07,227543,3553000,1849052.75
2018-08,236081,3484000,1767161
2018-09,242754,3812000,1848051
2018-10,260873,3574000,1811071.5
2018-11,253796,3529000,1930551.5
2018-12,246326,3551000,1819810
2019-01,223322,3752000,1811261.5
2019-02,222081,2855000,1661527.25
2019-03,262470,3805000,1886841.25
2019-04,244610,3612000,1862296.75
2019-05,234208,3756000,1917431.25
2019-06,243299,3756000,1848055.5
2019-07,247386,3855000,1894479.5
2019-08,223874,3760000,1831308.75
2019-09,233174,3705000,1704486.25
2019-10,243730,3629000,1882780.5
2019-11,233370,3552000,1824548.75
2019-12,232555,3266000,1866983
2020-01,210406,3606000,1804979.25
2020-02,190689,2298000,1736678.25
2020-03,220713,3432000,1987930
2020-04,220462,3507000,1829258
2020-05,184346,3617000,1746224.75
2020-06,173675,3602000,1758291
2020-07,197779,3903000,1765015.25
2020-08,182649,3840000,1743285.5
2020-09,200796,3853000,1735349.75
2020-10,237186,4203000,1904418
2020-11,220681,4005000,1934359.5
2020-12,231764,3636000,1878205.75
2021-01,203781,4035000,1850971.5
2021-02,214766,3409000,1686830.75
2021-03,238686,3896000,2016800.5
2021-04,242858,3716000,1958726
2021-05,218168,3789000,2014774
2021-06,230747,4094000,1923367.75
2021-07,229702,3702000,1961260.5
2021-08,226078,4320000,1838142.5
2021-09,209516,3835000,1798941
2021-10,235753,4190000,1980939.5
2021-11,236198,4062000,1810445.75
2021-12,239345,3984000,1864930
2022-01,224303,4351000,1966759
2022-02,212361,3808000,1742965.75
2022-03,236441,4105000,1875668
2022-04,224978,3085000,1899434.25
2022-05,209002,3404000,1963081.5
2022-06,226380,3793000,1810288.5
2022-07,223345,4303000,2008719.5
2022-08,218019,4173000,1891850.25
2022-09,216328,3868000,1559996.75
2022-10,241893,4194000,1829358
2022-11,223338,4110000,1789463
2022-12,223838,4109000,1740610
